BLEURT,bleurt_limit_score
,0.41557472944259644
,0.461978018283844
,0.5887623429298401
,0.5960395336151123
,0.37052083015441895
,0.5955280065536499
,0.42607080936431885
,0.5551855564117432
,0.5531758666038513
,0.35230353474617004
,0.4590715765953064
,0.4220816493034363
,0.5062776207923889
,0.4667366147041321
,0.4078735113143921
,0.4095447063446045
,0.6089696288108826
,0.49414360523223877
,0.5078861117362976
,0.48389697074890137
,0.5104336142539978
,0.5342363119125366
,0.5576849579811096
,0.4963380694389343
,0.514447808265686
,0.5295560359954834
,0.43101364374160767
,0.4441293478012085
,0.40654969215393066
,0.4445498585700989
,0.4521600604057312
,0.5282768607139587
,0.2522124648094177
,0.5252944827079773
,0.4816238284111023
,0.5151902437210083
,0.4245390295982361
,0.38791412115097046
,0.320663183927536
,0.42285096645355225
,0.39596009254455566
,0.4187769889831543
,0.3782220482826233
,0.3410441279411316
,0.4119839668273926
,0.28790760040283203
,0.33550161123275757
,0.3503139317035675
,0.4610522985458374
,0.4728516936302185
,0.434039831161499
,0.4700670838356018
,0.3877427577972412
,0.430161714553833
,0.37307125329971313
,0.47217845916748047
,0.5218664407730103
,0.41165560483932495
,0.38906556367874146
,0.4321814179420471
,0.42618560791015625
,0.4621223211288452
,0.38137394189834595
,0.4335043430328369
,0.4035050868988037
,0.5213543772697449
,0.48614776134490967
,0.3525187373161316
,0.29216158390045166
,0.44936126470565796
,0.5328044891357422
,0.44029366970062256
,0.4282858967781067
,0.4838101863861084
,0.4308927059173584
,0.40456992387771606
,0.20412346720695496
,0.48554039001464844
,0.5459883213043213
,0.38870036602020264
,0.46155595779418945
,0.40297436714172363
,0.4519912004470825
,0.31164461374282837
final,0.44307548659188406
