BLEURT,bleurt_GQA_score
,0.3628467321395874
,0.35779839754104614
,0.3786815404891968
,0.5367321968078613
,0.2787937521934509
,0.5978569984436035
,0.564296543598175
,0.7209659218788147
,0.6077354550361633
,0.29927968978881836
,0.4193339943885803
,0.32647332549095154
,0.48516857624053955
,0.39634305238723755
,0.16047558188438416
,0.3425760269165039
,0.32618600130081177
,0.4275254011154175
,0.34941279888153076
,0.41432666778564453
,0.6319962739944458
,0.31367814540863037
,0.44275420904159546
,0.3925831913948059
,0.43861889839172363
,0.4191095232963562
,0.2088439166545868
,0.42993032932281494
,0.36533552408218384
,0.34603631496429443
,0.4973168969154358
,0.5415164232254028
,0.3707810938358307
,0.5261233448982239
,0.4611976146697998
,0.42640143632888794
,0.48842281103134155
,0.3723738193511963
,0.3194807171821594
,0.3211979269981384
,0.2930728793144226
,0.38241469860076904
,0.4043835997581482
,0.29362058639526367
,0.36362403631210327
,0.3480217158794403
,0.29831409454345703
,0.3708578944206238
,0.3983796238899231
,0.3765251040458679
,0.4136431813240051
,0.3730350136756897
,0.3698067367076874
,0.35080599784851074
,0.3221767544746399
,0.41474539041519165
,0.46023184061050415
,0.5095561742782593
,0.2672594487667084
,0.45245474576950073
,0.33252525329589844
,0.4585599899291992
,0.3579394221305847
,0.34859907627105713
,0.4053548574447632
,0.49550050497055054
,0.4101409316062927
,0.2500384747982025
,0.34126079082489014
,0.40061038732528687
,0.4715607166290283
,0.35928311944007874
,0.36002641916275024
,0.38271480798721313
,0.4580554962158203
,0.34033966064453125
,0.18369078636169434
,0.4628404974937439
,0.5398465394973755
,0.3595818877220154
,0.39973902702331543
,0.5109624862670898
,0.36391347646713257
,0.2302931547164917
final,0.3970573136494273
